------------------------------------------------------------------------------------
导出信息：
姓名：胡智恒
支付宝账户：18155335639
起始时间：[2025-04-19 00:00:00]    终止时间：[2026-04-18 23:59:59]
导出交易类型：[全部]
导出时间：[2026-04-18 15:41:10]
共748笔记录
收入：45笔 52227.07元
支出：595笔 59894.91元
不计收支：108笔 33021.34元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2026-04-18 02:20:11,投资理财,多基金_华安,/,余额宝-2026.04.17-收益发放,不计收支,0.20,余额宝,交易成功,20260418323476595631	,	,,
2026-04-17 02:47:37,投资理财,多基金_华安,/,余额宝-2026.04.16-收益发放,不计收支,0.18,余额宝,交易成功,20260417321825375631	,	,,
2026-04-16 18:12:28,转账红包,乐意yyy(宋鑫艺),131******38,Transfer,支出,520.00,账户余额,交易成功,20260416200040011100630082927516	,	,,
2026-04-16 18:11:15,退款,x***7,167******00,退款-【原价2599】顺丰包邮！西昊C300(可送货上门)人体工学,不计收支,528.00,账户余额(个人余额),退款成功,2026041622001193631401528258_4502297378047041445	,T200P4502297378047041445	,,
2026-04-16 17:54:04,日用百货,x***7,167******00,【原价2599】顺丰包邮！西昊C300(可送货上门)人体工学,支出,528.00,账户余额(个人余额),交易关闭,2026041622001193631401528258	,T200P4502297378047041445	,,
2026-04-16 16:57:22,数码电器,小米**店,mit***@xiaomi.com,REDMIG27Q显示器27英寸2K 200Hz高刷Fast IPS 1ms响应电竞显示器,支出,794.00,账户余额(个人余额),等待确认收货,2026041622001193631459739136	,T200P4502293777062041445	,,
2026-04-16 02:34:30,投资理财,多基金_华安,/,余额宝-2026.04.15-收益发放,不计收支,0.18,余额宝,交易成功,20260416315530835631	,	,,
2026-04-15 23:11:37,转账红包,老爸,hgm***@sina.com,转账,收入,2000.00,账户余额,交易成功,20260415200040011100960065424680	,	,,
2026-04-15 04:15:22,生活服务,慧生活798,138***@139.com,中国科学院兰州分院水控/直饮机设备消费,支出,0.21,账户余额,交易成功,2026041523001493631452423049	,1493826913704378368	,,
2026-04-15 02:39:12,投资理财,多基金_华安,/,余额宝-2026.04.14-收益发放,不计收支,0.20,余额宝,交易成功,20260415309198899631	,	,,
